district,status,zone
Pratapgarh,MISSING,NEEDS_MAPPING
Puducherry,MISSING,NEEDS_MAPPING
Pudukkottai,MISSING,NEEDS_MAPPING
Pulwama,MISSING,NEEDS_MAPPING
Punch,MISSING,NEEDS_MAPPING
Pune,MISSING,NEEDS_MAPPING
Purba Champaran,MISSING,NEEDS_MAPPING
Purba Medinipur,MISSING,NEEDS_MAPPING
Purbi Singhbhum,MISSING,NEEDS_MAPPING
Puri,MISSING,NEEDS_MAPPING
Purnia,MISSING,NEEDS_MAPPING
Puruliya,MISSING,NEEDS_MAPPING
Rae Bareli,MISSING,NEEDS_MAPPING
Raichur,MATCH,NORTH EAST DRY
Raigarh,MISSING,NEEDS_MAPPING
Raipur,MISSING,NEEDS_MAPPING
Raisen,MISSING,NEEDS_MAPPING
Rajgarh,MISSING,NEEDS_MAPPING
Rajkot,MISSING,NEEDS_MAPPING
Rajnandgaon,MISSING,NEEDS_MAPPING
Rajouri,MISSING,NEEDS_MAPPING
Rajsamand,MISSING,NEEDS_MAPPING
Ramanagara,MISSING,NEEDS_MAPPING
Ramanathapuram,MISSING,NEEDS_MAPPING
Ramban,MISSING,NEEDS_MAPPING
Ramgarh,MISSING,NEEDS_MAPPING
Rampur,MISSING,NEEDS_MAPPING
Ranchi,MISSING,NEEDS_MAPPING
Rangareddy,MISSING,NEEDS_MAPPING
Ratlam,MISSING,NEEDS_MAPPING
Ratnagiri,MISSING,NEEDS_MAPPING
Rayagada,MISSING,NEEDS_MAPPING
Reasi,MISSING,NEEDS_MAPPING
Rewa,MISSING,NEEDS_MAPPING
Rewari,MISSING,NEEDS_MAPPING
Ri Bhoi,MISSING,NEEDS_MAPPING
Rohtak,MISSING,NEEDS_MAPPING
Rohtas,MISSING,NEEDS_MAPPING
Rudraprayag,MISSING,NEEDS_MAPPING
Rupnagar,MISSING,NEEDS_MAPPING
Sabar Kantha,MISSING,NEEDS_MAPPING
Sagar,MISSING,NEEDS_MAPPING
Saharanpur,MISSING,NEEDS_MAPPING
Saharsa,MISSING,NEEDS_MAPPING
Sahibganj,MISSING,NEEDS_MAPPING
Sahibzada Ajit Singh Nagar,MISSING,NEEDS_MAPPING
Saiha,MISSING,NEEDS_MAPPING
Salem,MISSING,NEEDS_MAPPING
Samastipur,MISSING,NEEDS_MAPPING
Samba,MISSING,NEEDS_MAPPING
Sambalpur,MISSING,NEEDS_MAPPING
Sangli,MISSING,NEEDS_MAPPING
Sangrur,MISSING,NEEDS_MAPPING
Sant Kabir Nagar,MISSING,NEEDS_MAPPING
Sant Ravi Das Nagar(bhadohi),MISSING,NEEDS_MAPPING
Saraikela-kharsawan,MISSING,NEEDS_MAPPING
Saran (chhapra),MISSING,NEEDS_MAPPING
Satara,MISSING,NEEDS_MAPPING
Satna,MISSING,NEEDS_MAPPING
Sawai Madhopur,MISSING,NEEDS_MAPPING
Sehore,MISSING,NEEDS_MAPPING
Senapati,MISSING,NEEDS_MAPPING
Seoni,MISSING,NEEDS_MAPPING
Serchhip,MISSING,NEEDS_MAPPING
Shahdol,MISSING,NEEDS_MAPPING
Shahid Bhagat Singh Nagar,MISSING,NEEDS_MAPPING
Shahjahanpur,MISSING,NEEDS_MAPPING
Shajapur,MISSING,NEEDS_MAPPING
Sheikhpura,MISSING,NEEDS_MAPPING
Sheohar,MISSING,NEEDS_MAPPING
Sheopur,MISSING,NEEDS_MAPPING
Shimla,MISSING,NEEDS_MAPPING
Shimoga,MISSING,NEEDS_MAPPING
Shivpuri,MISSING,NEEDS_MAPPING
Shrawasti,MISSING,NEEDS_MAPPING
Shupiyan,MISSING,NEEDS_MAPPING
Siddharth Nagar,MISSING,NEEDS_MAPPING
Sidhi,MISSING,NEEDS_MAPPING
Sikar,MISSING,NEEDS_MAPPING
Simdega,MISSING,NEEDS_MAPPING
Sindhudurg,MISSING,NEEDS_MAPPING
Singrauli,MISSING,NEEDS_MAPPING
Sirmaur,MISSING,NEEDS_MAPPING
Sirohi,MISSING,NEEDS_MAPPING
Sirsa,MISSING,NEEDS_MAPPING
Sitamarhi,MISSING,NEEDS_MAPPING
Sitapur,MISSING,NEEDS_MAPPING
Sivaganga,MISSING,NEEDS_MAPPING
Sivasagar,MISSING,NEEDS_MAPPING
Siwan,MISSING,NEEDS_MAPPING
Solan,MISSING,NEEDS_MAPPING
Solapur,MISSING,NEEDS_MAPPING
Sonbhadra,MISSING,NEEDS_MAPPING
Sonipat,MISSING,NEEDS_MAPPING
Sonitpur,MISSING,NEEDS_MAPPING
South,MISSING,NEEDS_MAPPING
South 24 Parganas,MISSING,NEEDS_MAPPING
South Andaman,MISSING,NEEDS_MAPPING
South Garo Hills,MISSING,NEEDS_MAPPING
South Goa,MISSING,NEEDS_MAPPING
South Tripura,MISSING,NEEDS_MAPPING
South West,MISSING,NEEDS_MAPPING
Sri Potti Sriramulu Nellore,MISSING,NEEDS_MAPPING
Srikakulam,MISSING,NEEDS_MAPPING
Srinagar,MISSING,NEEDS_MAPPING
Subarnapur,MISSING,NEEDS_MAPPING
Sultanpur,MISSING,NEEDS_MAPPING
Sundargarh,MISSING,NEEDS_MAPPING
Supaul,MISSING,NEEDS_MAPPING
Surat,MISSING,NEEDS_MAPPING
Surendranagar,MISSING,NEEDS_MAPPING
Surguja,MISSING,NEEDS_MAPPING
Tamenglong,MISSING,NEEDS_MAPPING
Tapi,MISSING,NEEDS_MAPPING
Tarn Taran,MISSING,NEEDS_MAPPING
Tawang,MISSING,NEEDS_MAPPING
Tehri Garhwal,MISSING,NEEDS_MAPPING
Thane,MISSING,NEEDS_MAPPING
Thanjavur,MISSING,NEEDS_MAPPING
The Dangs,MISSING,NEEDS_MAPPING
The Nilgiris,MISSING,NEEDS_MAPPING
Theni,MISSING,NEEDS_MAPPING
Thiruvallur,MISSING,NEEDS_MAPPING
Thiruvananthapuram,MISSING,NEEDS_MAPPING
Thiruvarur,MISSING,NEEDS_MAPPING
Thoothukkudi,MISSING,NEEDS_MAPPING
Thoubal,MISSING,NEEDS_MAPPING
Thrissur,MISSING,NEEDS_MAPPING
Tikamgarh,MISSING,NEEDS_MAPPING
Tinsukia,MISSING,NEEDS_MAPPING
Tirap,MISSING,NEEDS_MAPPING
Tiruchirappalli,MISSING,NEEDS_MAPPING
Tirunelveli,MISSING,NEEDS_MAPPING
Tiruppur,MISSING,NEEDS_MAPPING
Tiruvannamalai,MISSING,NEEDS_MAPPING
Tonk,MISSING,NEEDS_MAPPING
Tuensang,MISSING,NEEDS_MAPPING
Tumkur,MISSING,NEEDS_MAPPING
Udaipur,MISSING,NEEDS_MAPPING
Udalguri,MISSING,NEEDS_MAPPING
Udham Singh Nagar,MISSING,NEEDS_MAPPING
Udhampur,MISSING,NEEDS_MAPPING
Udupi,MATCH,COASTAL
Ujjain,MISSING,NEEDS_MAPPING
Ukhrul,MISSING,NEEDS_MAPPING
Umaria,MISSING,NEEDS_MAPPING
Una,MISSING,NEEDS_MAPPING
Unnao,MISSING,NEEDS_MAPPING
